T,<epsilon>,<|m|>,C_v,chi
2.25,-1.46452,0.680718,1.94269,25.8773
2.25312,-1.45615,0.658397,2.05263,39.9035
2.25937,-1.44371,0.633327,2.16785,50.5622
2.25625,-1.45024,0.647352,2.11407,42.8284
2.26875,-1.42587,0.602428,2.21264,55.7138
2.2625,-1.43678,0.620578,2.21161,54.0331
2.26562,-1.42955,0.598847,2.29167,65.6359
2.27188,-1.41516,0.564079,2.32034,78.1783
2.27813,-1.40106,0.528918,2.3616,88.1624
2.275,-1.4074,0.538767,2.38887,89.5743
2.28125,-1.39309,0.502408,2.40711,97.0883
2.28438,-1.38493,0.476018,2.33141,101.18
2.29375,-1.36638,0.432105,2.22734,101.964
2.2875,-1.37994,0.473306,2.30819,93.7828
2.30313,-1.34494,0.368045,2.05,95.8027
2.29688,-1.36022,0.421857,2.1816,97.0786
2.32188,-1.31096,0.282423,1.73984,80.4654
2.29062,-1.37087,0.436678,2.29019,105.526
2.3,-1.3521,0.390525,2.12933,98.8211
2.30625,-1.33819,0.342566,2.00167,98.8787
2.3125,-1.32678,0.320528,1.92309,92.1539
2.30938,-1.33301,0.333994,1.92613,95.605
2.31875,-1.3134,0.274395,1.73479,79.5847
2.31563,-1.32062,0.302422,1.82322,86.3694
