T,<epsilon>,<|m|>,C_v,chi
2.1125,-1.6499,0.861958,0.987785,1.008
2.1625,-1.59541,0.825191,1.20189,2.30725
2.125,-1.63728,0.854379,1.02794,1.16623
2.1875,-1.5627,0.796623,1.33248,4.42263
2.225,-1.50945,0.748868,1.56501,6.5184
2.1375,-1.62517,0.847157,1.06434,1.30493
2.175,-1.57948,0.812731,1.27572,2.91747
2.2,-1.54646,0.785987,1.3728,4.20445
2.2125,-1.52501,0.762647,1.52365,5.66929
2.1,-1.66254,0.869206,0.946966,0.940159
2.15,-1.60907,0.83403,1.16789,2.0816
2.3875,-1.22167,0.264742,1.27031,20.8102
2.3,-1.37094,0.542442,2.08111,27.4375
2.2375,-1.4889,0.72457,1.64801,8.97299
2.2625,-1.44743,0.679629,1.69719,10.5173
2.3125,-1.34178,0.477157,1.93574,31.9078
2.275,-1.42017,0.625574,1.92366,21.1818
2.2875,-1.38928,0.567773,1.98715,25.0857
2.3375,-1.29874,0.406083,1.73526,29.7854
2.25,-1.46464,0.687184,1.80356,13.7422
2.375,-1.23881,0.299398,1.37806,22.9571
2.325,-1.32187,0.442373,1.88846,32.1734
2.3625,-1.25889,0.33273,1.54941,26.8149
2.35,-1.27562,0.357771,1.59395,28.2133
