2.1125,-1.64979,0.859509,1.04805,1.84211
2.15,-1.60986,0.835408,1.18351,1.79247
2.1375,-1.62438,0.845063,1.10916,1.5269
2.2125,-1.51967,0.712323,2.07403,48.7965
2.1,-1.66065,0.86469,1.04531,1.48206
2.1875,-1.5642,0.801103,1.40267,3.28235
2.2,-1.53887,0.739896,1.94868,33.7174
2.175,-1.57857,0.808903,1.33108,3.96644
2.2625,-1.41643,0.49847,2.21814,115.818
2.325,-1.30765,0.274006,1.70704,61.5973
2.2875,-1.35997,0.271093,1.68778,94.8123
2.3125,-1.32105,0.289216,1.64639,92.2285
2.3625,-1.24993,0.151978,1.22559,36.1276
2.275,-1.40162,0.460551,2.51808,155.005
2.375,-1.22877,0.115341,1.1981,17.1176
2.1625,-1.59667,0.826647,1.21703,2.24903
2.2375,-1.49177,0.726229,1.81965,13.536
2.125,-1.63222,0.826098,1.61965,32.726
2.25,-1.41578,0.345859,2.56581,139.904
2.3,-1.35317,0.404237,2.23158,83.2873
2.35,-1.27093,0.173064,1.27528,44.3441
2.3375,-1.29124,0.299286,1.51507,53.6074
2.3875,-1.22168,0.152633,1.21319,28.1334
2.225,-1.50908,0.747168,1.56281,6.75301
2.11339,-1.64989,0.861573,1.02178,1.11064
2.28839,-1.35845,0.303099,2.29414,147.35
2.15089,-1.60874,0.834038,1.1937,1.91065
2.26339,-1.41726,0.534921,2.68417,77.8446
2.25089,-1.45297,0.641427,2.12651,35.2421
2.32589,-1.29884,0.192064,1.40409,59.5033
2.37589,-1.2313,0.11541,1.26877,20.7664
2.31339,-1.32452,0.291049,1.77052,97.9938
2.36339,-1.2494,0.163703,1.31776,40.1787
2.10089,-1.66068,0.865866,1.00346,1.24866
2.18839,-1.56156,0.793561,1.52995,7.23884
2.27589,-1.39791,0.484641,2.61913,124.547
2.20089,-1.54456,0.776167,1.53034,9.41686
2.30089,-1.35604,0.435934,2.47429,81.0575
2.17589,-1.55012,0.616777,3.47841,260.917
2.35089,-1.2768,0.274035,1.80633,87.1914
2.33839,-1.2848,0.213489,1.57914,47.5149
2.16339,-1.59594,0.826921,1.21901,2.09162
2.12589,-1.63381,0.834652,1.33283,23.9475
2.13839,-1.58344,0.584012,3.35713,247.387
2.21339,-1.53092,0.774879,1.38568,3.45363
2.23839,-1.48936,0.724355,1.77883,9.64467
2.38839,-1.2162,0.135796,1.18385,25.9902
2.22589,-1.50682,0.738521,1.74013,12.3504
2.26429,-1.43753,0.634866,2.20984,27.8341
2.11429,-1.6484,0.859844,1.042,1.25497
2.37679,-1.23092,0.159702,1.32153,44.6686
2.28929,-1.35686,0.330684,1.95331,106.942
