T,<epsilon>,<|m|>,C_v,chi
2.27344,-1.42065,0.620913,1.99266,22.3109
2.2625,-1.4435,0.659508,1.91097,17.7526
2.26979,-1.42579,0.625699,1.98862,22.157
2.28073,-1.40651,0.596797,2.03823,24.757
2.26615,-1.43267,0.635036,1.98396,21.9077
2.29167,-1.38449,0.55979,2.03176,26.9059
2.29896,-1.37066,0.536493,1.9964,27.9578
2.28438,-1.39821,0.581047,2.01102,25.6585
2.28802,-1.3914,0.570877,2.02626,26.6849
2.27708,-1.41387,0.610664,1.99117,22.9543
2.29531,-1.37483,0.535383,2.03056,29.4825
2.31354,-1.34214,0.482974,1.90682,30.0935
2.3026,-1.36261,0.520739,1.96748,28.8619
2.32083,-1.32667,0.451258,1.87494,31.0934
2.31719,-1.33316,0.462807,1.88854,30.7237
2.30625,-1.35705,0.512143,1.96344,29.5689
2.3099,-1.34881,0.492084,1.95706,30.843
2.33542,-1.30042,0.405226,1.72822,29.1961
2.33177,-1.30739,0.416243,1.78721,30.5387
2.32812,-1.31413,0.428548,1.80897,30.7497
2.32448,-1.32211,0.448515,1.84868,30.4088
2.33906,-1.29402,0.390591,1.68701,29.4823
2.34271,-1.28853,0.38206,1.65705,28.7226
2.34635,-1.28179,0.369721,1.62526,28.455
