T,<epsilon>,<|m|>,C_v,chi
2.15,-1.60967,0.83541,1.14613,1.95376
2.2375,-1.48066,0.692493,2.05747,28.3949
2.275,-1.41268,0.581952,2.21208,46.6209
2.2625,-1.43731,0.634857,2.0858,31.2086
2.25,-1.4698,0.702076,1.68152,9.99805
2.2875,-1.38062,0.499068,2.09247,56.7878
2.3,-1.35424,0.431955,1.96757,61.9929
2.35,-1.26912,0.254886,1.45969,43.1078
2.325,-1.30767,0.321503,1.79857,57.5747
2.3125,-1.32868,0.373327,1.99596,62.6076
2.3375,-1.28649,0.281604,1.6094,49.0755
2.375,-1.23333,0.195043,1.25429,27.7823
2.125,-1.6374,0.85396,1.05033,1.3047
2.225,-1.50835,0.741422,1.62797,11.1526
2.175,-1.57975,0.81343,1.25177,2.7668
2.1625,-1.59506,0.825097,1.20447,2.2538
2.2,-1.54708,0.785975,1.37229,4.69617
2.1375,-1.62377,0.845099,1.09801,1.54413
2.1,-1.66123,0.867987,0.962631,0.961852
2.2125,-1.52846,0.768016,1.45841,5.46358
2.1125,-1.64992,0.861713,0.990455,1.04591
2.1875,-1.56369,0.799915,1.34745,3.53729
2.3875,-1.21831,0.182576,1.21726,27.2364
2.3625,-1.25079,0.223147,1.35286,35.1567
